squirrelId,in_awake,in_asleep,out_awake,out_asleep,is_female,is_mast,year,start_dt,end_dt,durationInMinutes,inNestInMinutes,asleepInMinutes,meanSeason
13012,0.154166666666667,0.337586805555556,0.489930555555556,0.0183159722222222,1,0,2015,04-Sep-2015,11-Sep-2015 23:59:00,11519,5665,4100,4
13130,0.24158950617284,0.339737654320988,0.418595679012346,7.71604938271605e-05,1,0,2015,04-Sep-2015,12-Sep-2015 23:59:00,12959,7534,4404,4
19880,0.178549382716049,0.376851851851852,0.442361111111111,0.00223765432098765,0,0,2015,03-Sep-2015,11-Sep-2015 23:59:00,12959,7198,4913,4
19611,0.131003758875122,0.374564945009049,0.486147849088125,0.0082834470277043,1,0,2015,04-Sep-2015,13-Sep-2015 23:25:00,14365,7263,5500,4
13305,0.143827160493827,0.304783950617284,0.526157407407407,0.0252314814814815,1,0,2015,03-Sep-2015,11-Sep-2015 23:59:00,12959,5814,4277,4
20634,0.238194444444444,0.363541666666667,0.379079861111111,0.0191840277777778,0,0,2015,04-Sep-2015,11-Sep-2015 23:59:00,11519,6932,4409,4
19583,0.212361111111111,0.343472222222222,0.41875,0.0254166666666667,1,0,2015,07-Sep-2015,11-Sep-2015 23:59:00,7199,4002,2656,4
20923,0.198302469135802,0.366358024691358,0.435185185185185,0.000154320987654321,0,0,2015,03-Sep-2015,11-Sep-2015 23:59:00,12959,7318,4750,4
21325,0.267739898989899,0.392234848484848,0.340025252525253,0,0,0,2015,14-Sep-2015,24-Sep-2015 23:59:00,15839,10454,6213,4
19769,0.171527777777778,0.297271825396825,0.482936507936508,0.0482638888888889,1,0,2015,16-Sep-2015,29-Sep-2015 23:59:00,20159,9451,6966,4
12003,0.183810763888889,0.364670138888889,0.441015625,0.0105034722222222,1,0,2015,14-Sep-2015,29-Sep-2015 23:59:00,23039,12637,8644,4
12522,0.195138888888889,0.237996031746032,0.430456349206349,0.13640873015873,0,0,2015,14-Sep-2015,20-Sep-2015 23:59:00,10079,4366,3774,4
20836,0.196388888888889,0.382291666666667,0.417708333333333,0.00361111111111111,0,0,2015,14-Sep-2015,23-Sep-2015 23:59:00,14399,8333,5557,4
11256,0.198611111111111,0.387384259259259,0.413483796296296,0.000520833333333333,1,0,2015,17-Sep-2015,28-Sep-2015 23:59:00,17279,10126,6703,4
21393,0.204089506172839,0.377777777777778,0.417052469135802,0.00108024691358025,0,0,2015,15-Sep-2015,23-Sep-2015 23:59:00,12959,7541,4910,4
