isq,squirrelId,in_awake,in_asleep,out_awake,out_asleep,is_female,is_mast,year,start_dt,end_dt,durationInMinutes,inNestInMinutes,asleepInMinutes,meanSeason
269,22465,0.0720899470899471,0.805257936507937,0.0658068783068783,0.0568452380952381,0,0,2017,18-Dec-2016,07-Jan-2017 23:59:00,30239,26531,26070,4
270,21923,0.0739417989417989,0.730555555555556,0.0954365079365079,0.100066137566138,0,0,2017,18-Dec-2016,07-Jan-2017 23:59:00,30239,24328,25118,4
271,20169,0.101305555555556,0.721527777777778,0.0909722222222222,0.0861944444444444,0,0,2017,18-Dec-2016,11-Jan-2017 23:59:00,35999,29622,29078,3
272,12148,0.0628637566137566,0.771494708994709,0.0755291005291005,0.0901124338624339,0,0,2017,22-Dec-2016,11-Jan-2017 23:59:00,30239,25231,26055,3
273,13258,0.0776475694444444,0.705013020833333,0.0984157986111111,0.118923611111111,0,0,2017,31-Dec-2016,31-Jan-2017 23:59:00,46079,36065,37967,1
274,12678,0.0486111111111111,0.610416666666667,0.260416666666667,0.0805555555555556,0,1,2014,2014-03-16 00:00:00,2014-03-16 23:59:00,1439,949,995,2
275,13048,0.0587384259259259,0.567592592592593,0.26099537037037,0.112673611111111,0,1,2014,2014-03-16 00:00:00,2014-03-27 23:59:00,17279,10823,11755,2
276,12705,0.0568218954248366,0.614910130718954,0.205882352941176,0.122385620915033,0,1,2014,2014-03-18 00:00:00,2014-04-03 23:59:00,24479,16444,18049,2
278,19874,0.0456597222222222,0.5484375,0.274131944444444,0.131770833333333,0,1,2014,2014-03-25 00:00:00,2014-03-28 23:59:00,5759,3422,3918,2
279,12542,0.0595833333333333,0.594305555555556,0.223333333333333,0.122777777777778,0,1,2014,2014-03-22 00:00:00,2014-03-26 23:59:00,7199,4708,5163,2
280,12576,0.0579861111111111,0.589236111111111,0.230555555555556,0.122222222222222,0,1,2014,2014-03-17 00:00:00,2014-03-18 23:59:00,2879,1864,2049,2
281,13466,0.0653549382716049,0.599768518518519,0.223302469135802,0.111574074074074,0,1,2014,2014-03-17 00:00:00,2014-03-25 23:59:00,12959,8620,9219,2
282,13179,0.0602187376465938,0.672025299775992,0.192383713269205,0.0753722493082093,0,1,2014,2014-03-20 17:31:47,2014-03-25 23:59:47,7588,5557,5672,2
283,21393,0.0722222222222222,0.806909722222222,0.0658680555555556,0.055,0,0,2017,27-Nov-2016,16-Dec-2016 23:59:00,28799,25319,24823,1
284,21387,0.0571637426900585,0.803472222222222,0.0649488304093567,0.0744152046783626,0,0,2017,28-Nov-2016,16-Dec-2016 23:59:00,27359,23547,24019,1
285,19882,0.0779861111111111,0.820486111111111,0.0656944444444444,0.0358333333333333,0,0,2017,27-Nov-2016,16-Dec-2016 23:59:00,28799,25876,24662,1
286,19981,0.0751827485380117,0.769956140350877,0.060453216374269,0.0944078947368421,0,0,2017,28-Nov-2016,16-Dec-2016 23:59:00,27359,23123,23649,1
287,12747,0.0697285353535353,0.697032828282828,0.102777777777778,0.130460858585859,0,0,2017,27-Nov-2016,18-Dec-2016 23:59:00,31679,24291,26215,1
288,21247,0.0601608187134503,0.816812865497076,0.0693347953216374,0.0536915204678363,0,0,2017,28-Nov-2016,16-Dec-2016 23:59:00,27359,23994,23817,1
289,20004,0.0914797008547008,0.685977564102564,0.100133547008547,0.122409188034188,0,0,2017,02-Dec-2016,27-Dec-2016 23:59:00,37439,29108,30266,1
290,20199,0.0644097222222222,0.796527777777778,0.0689236111111111,0.0701388888888889,0,0,2017,28-Nov-2016,01-Dec-2016 23:59:00,5759,4959,4992,1
291,21367,0.060472972972973,0.816816816816817,0.0654654654654655,0.0572447447447447,0,0,2017,28-Nov-2016,03-Jan-2017 23:59:00,53279,46742,46570,1
292,19905,0.0870519713261649,0.799115143369176,0.0745519713261649,0.0392809139784946,0,0,2017,27-Nov-2016,27-Jan-2017 23:59:00,89279,79117,74852,3
293,21331,0.0546239837398374,0.73934620596206,0.0600779132791328,0.14595189701897,0,0,2017,28-Nov-2016,07-Jan-2017 23:59:00,59039,46876,52268,4
294,20739,0.0987929894179894,0.676240079365079,0.0986359126984127,0.126331018518519,0,0,2017,29-Nov-2016,20-Feb-2017 23:59:00,120959,93748,97079,3
295,13401,0.106795634920635,0.645436507936508,0.153174603174603,0.094593253968254,0,0,2016,11-Mar-2016,24-Mar-2016 23:59:00,20099,15165,14919,2
296,21599,0.110515873015873,0.621180555555556,0.206200396825397,0.0621031746031746,0,0,2016,11-Mar-2016,24-Mar-2016 23:59:00,20099,14751,13775,2
297,21487,0.0699635976205274,0.541418804936518,0.213945366835361,0.174672230607594,0,0,2016,20-Mar-2016 12:51:13,12-Apr-2016 23:59:13,33788,20658,24196,2
298,12236,0.0440972222222222,0.593536324786325,0.129059829059829,0.233306623931624,0,0,2016,25-Mar-2016,19-Apr-2016 23:59:00,37439,23873,30957,2
299,20871,0.0409722222222222,0.711111111111111,0.209027777777778,0.0388888888888889,0,0,2016,25/03/2016 00:00:00.000,25/03/2016 23:59:00.000,1439,1083,1080,2
300,19981,0.0637152777777778,0.680034722222222,0.1578125,0.0984375,0,0,2016,21-Mar-2016,24-Mar-2016 23:59:00,5759,4284,4484,2
303,12445,0.0778683574879227,0.610688405797101,0.194716183574879,0.116727053140097,0,0,2016,21-Mar-2016,12-Apr-2016 23:59:00,33119,22805,24092,2
304,19976,0.108527131782946,0.639014936660995,0.150690111552278,0.101767820003781,0,0,2016,11-Mar-2016,25-Mar-2016 16:35:00,21095,15815,15672,2
306,19905,0.116743827160494,0.662808641975309,0.153240740740741,0.0672067901234568,0,0,2016,11-Mar-2016,19-Mar-2016 23:59:00,12899,10103,9461,2
308,21355,0.0490918803418803,0.559188034188034,0.315972222222222,0.0757478632478632,0,0,2016,14-Sep-2016,26-Sep-2016 23:59:00,18719,11387,11886,4
310,12236,0.038034188034188,0.48167735042735,0.317788461538462,0.1625,0,0,2016,06-Sep-2016,18-Sep-2016 23:59:00,18719,9729,12059,4
